index,text,response,gemini
0,A man is being pulled on a water,,"ski. 
"
1,A huge crowd is in,,"Times Square. 
"
2,The man that threw,,"the ball was wearing a red hat. 
"
3,The second man to throw the javelin,,"was not as successful. 
"
4,The same men run to,,"the same ends. 
"
5,"Again, the men run to",,"safety. 
"
6,The fourth man looks disappointed,,"...as the last slice of pizza disappears. 
"
7,A man puts a gold medal around the neck,,"of the Olympic champion. 
"
8,A woman is standing in her,,"kitchen. 
"
9,She boils pasta in,,"a pot. 
"
10,The person in the red and black outfit begins rafting in the,,"river. 
"
11,A girl in a sum suit in thrown from a,,"speedboat. 
"
12,A close up of a white fencing,,"gleamed in the morning light. 
"
13,A young man sits,,"on the park bench, feeding the pigeons. 
"
14,"A couple is seen with a crowd,",,"...blending seamlessly into the bustling city street. 
"
15,Several different men are seen trying to snow,,"...the same woman at the ski lodge. 
"
16,A lady stands in,,"a long queue. 
"
17,The lady brushes,,"her hair. 
"
18,Man is standing in a room holding,,"a newborn baby. 
"
19,We see cheerleaders standing,,"on the sidelines. 
"
20,Four girls are lifted and they hold,,"hands, forming a human pyramid. 
"
21,A person's hands are seen playing in dirt,,"and unearthing a lost treasure. 
"
22,Several small children drive,,"toy cars. 
"
23,These horses are walking in a grassy area by themselves,,"with the sun setting in the distance. 
"
24,The camera zooms in to shows the horse' nose and then,,"its nostrils flare. 
"
25,The players are playing curling,,"on the ice. 
"
26,The players pushed the stone and two people are brushing,,"the ice in front of it. 
"
27,We then watch an older boy and,,"a younger girl build a sandcastle. 
"
28,People are working out in a,,"gym. 
"
29,Man wearing a red shirt is standing,,"in line for coffee. 
"
30,Several older men man runs into frame to check on the gymnast,,"after her fall. 
"
31,A man is shown sitting in front of,,"a crackling fireplace. 
"
32,A girl shows how to,,"bake a cake. 
"
33,A woman is seen on an,,"overcrowded bus. 
"
34,A woman wearing sweat gear and seen,,"jogging through the park. 
"
35,A man in a red shirt,,"walked his dog in the park. 
"
36,A woman stands at the,,"precipice of change. 
"
37,A man kicks a,,"soccer ball. 
"
38,A girl is sitting in a tube surrounded by,,"water. 
"
39,Ingredients are shown on,,"food labels. 
"
40,He adds pasta to a,,"boiling pot of water. 
"
41,He starts cooking in a,,"frenzied rush every night. 
"
42,The credits of the,,"movie rolled. 
"
43,The guy pours product in a container and uses a brush,,"to paint a wall. 
"
44,Two people are jump roping,,"double dutch. 
"
45,The girl does,,"ballet every Saturday. 
"
46,People is playing black,,"People are playing blackjack. 
"
47,Then in another pan adding sausage and,,"onions. 
"
48,"With her hands on the bar, the girl",,"lifted herself up. 
"
49,The lady moves a platform to,,"access a higher shelf. 
"
50,The girl lifts off the bar and,,"cleans the weight. 
"
51,The girl takes two,,"steps. 
"
52,"The girl steps forward,",,"her hand outstretched. 
"
53,A person runs and,,"jumps. 
"
54,A man is talking to the,,"bartender. 
"
55,The man is,,"tall. 
"
56,Several players are on,,"the field. 
"
57,A camera pans around a large indoor pool and shows,,"rows of synchronized swimmers holding their breath underwater. 
"
58,"The woman added brown sugar on the butter, then added eggs one by one and",,"whisked them in. 
"
59,"The dried fruit mixture is added in the batter, and",,"then gently folded in. 
"
60,A bunch of young children are,,"playing tag in the park. 
"
61,One of the men is holding a phone camera in,,"his hand. 
"
62,"After much hesitation, the woman finally",,"spoke. 
"
63,Men travel in a plane and arrives,,"...at their destination. 
"
64,A snow removal clear the,,"driveway. 
"
65,A video shows how to,,"make origami cranes. 
"
66,"A person folds a blue cloth, wrapping",,"a gift. 
"
67,A boy is standing on a stool,,"facing a mirror. 
"
68,Several men are shown bowling,,"in a vintage photograph. 
"
69,The title shows as a man,,"of the people. 
"
70,There is then a showcase,,"of local talent. 
"
71,This woman is doing a nail tutorial,,"on YouTube. 
"
72,A professional swimmer wipes his eyes,,"with a towel. 
"
73,A man and woman are,,"dancing. 
"
74,Spanish letters are shown,,"with a diacritical mark. 
"
75,A group of people are,,"singing. 
"
76,A woman is laughing as she,,"watches a street performer juggle bowling pins. 
"
77,Team usa women are,,"champions. 
"
